"","x"
"784","107984168 intron2"
"785","105376220 intron2"
"786","105376232 intron2"
"787","105376233 intron2"
"788","10178 intron17"
"789","116238 intron5"
"790","116238 intron3"
"791","10412 intron5"
"792","11193 intron10"
"793","11194 intron2"
"794","11194 intron9"
"795","10076 intron21"
"796","105371874 intron1"
"797","105372925 intron3"
"798","105373440 intron2"
"799","105373447 intron1"
"800","105372524 intron1"
"801","1294 intron112"
"802","115701 intron11"
"803","100507501 intron2"
"804","101927096 intron4"
"805","105371629 intron1"
"806","110006323 intron17"
"807","112268090 intron1"
"808","105370959 intron2"
"809","105370969 intron1"
"810","104472715 intron175"
"811","130271 intron6"
"812","130271 intron12"
"813","130271 intron20"
"814","10452 intron6"
"815","10452 intron8"
"816","115727 intron8"
"817","115749 intron5"
"818","10282 intron1"
"819","105375208 intron3"
"820","105377406 intron1"
"821","101928563 intron4"
"822","101928530 intron1"
"823","101928537 intron2"
"824","149998 intron10"
"825","102724557 intron2"
"826","101928540 intron1"
"827","107986642 intron1"
"828","105376214 intron1"
"829","101929631 intron3"
"830","10777 intron18"
"831","10777 intron20"
"832","105374942 intron4"
"833","105374943 intron4"
"834","101927082 intron1"
"835","146057 intron9"
"836","10714 intron6"
"837","105377572 intron2"
"838","11280 intron21"
"839","105372079 intron6"
"840","105372082 intron2"
"841","10826 intron9"
"842","102724586 intron2"
"843","10717 intron7"
"844","10717 intron5"
"845","124904763 intron1"
"846","1435 intron1"
"847","113251 intron5"
"848","113251 intron6"
"849","124900711 intron1"
"850","124900713 intron1"
"851","151050 intron16"
"852","151050 intron15"
"853","124900714 intron2"
"854","105371147 intron1"
"855","107984059 intron2"
"856","131474 intron1"
"857","101928651 intron6"
"858","10299 intron10"
"859","103 intron14"
"860","133308 intron8"
"861","10317 intron3"
"862","124902625 intron1"
"863","151987 intron11"
"864","100131691 intron5"
"865","101929174 intron1"
"866","101929194 intron2"
"867","101928658 intron2"
"868","10493 intron2"
"869","1523 intron31"
"870","152330 intron17"
"871","105375835 intron6"
"872","11169 intron20"
"873","10298 intron11"
"874","151011 intron7"
"875","10771 intron14"
"876","105373575 intron2"
"877","105377410 intron1"
"878","153657 intron1"
"879","153657 intron11"
"880","1537 intron4"
"881","112267903 intron1"
"882","112267908 intron1"
"883","124905193 intron1"
"884","107984283 intron2"
"885","105370250 intron1"
"886","10036 intron8"
"887","101928583 intron4"
"888","100506380 intron2"
"889","10004 intron4"
"890","117583 intron2"
"891","105369421 intron4"
"892","100128890 intron1"
"893","1005 intron8"
"894","1005 intron9"
"895","105375814 intron1"
"896","105375816 intron2"
"897","124903482 intron2"
"898","124903485 intron1"
"899","124903487 intron1"
"900","100499466 intron4"
"901","100499466 intron5"
"902","100499467 intron2"
"903","1005 intron2"
"904","105375183 intron1"
"905","105375185 intron1"
"906","132949 intron3"
"907","105373691 intron1"
"908","105373696 intron4"
"909","10946 intron1"
"910","10947 intron2"
"911","105372517 intron3"
"912","105378887 intron2"
"913","105378888 intron1"
"914","105377295 intron2"
"915","101927117 intron4"
"916","101927117 intron1"
"917","105375072 intron1"
"918","105375077 intron1"
"919","1306 intron33"
"920","10235 intron12"
"921","100129836 intron1"
"922","100129842 intron5"
"923","100505797 intron1"
"924","100505806 intron1"
"925","10297 intron14"
"926","100421746 intron1"
"927","101928336 intron1"
"928","105378891 intron3"
"929","100129482 intron6"
"930","100129482 intron5"
"931","100101117 intron5"
"932","100101117 intron3"
"933","10307 intron4"
"934","10308 intron2"
"935","112267908 intron2"
"936","10312 intron11"
"937","1297 intron32"
"938","149478 intron5"
"939","124906008 intron1"
"940","124909464 intron1"
"941","101928617 intron1"
"942","124900882 intron1"
"943","105374986 intron1"
"944","105375024 intron1"
"945","105375025 intron1"
"946","105373292 intron2"
"947","105373293 intron1"
"948","105370588 intron3"
"949","11273 intron13"
"950","105373155 intron2"
"951","146754 intron3"
"952","107987352 intron2"
"953","116085 intron6"
"954","116092 intron1"
"955","116092 intron5"
"956","105375861 intron3"
"957","124903957 intron1"
"958","10565 intron18"
"959","147179 intron1"
"960","11200 intron12"
"961","124925 intron7"
"962","124925 intron6"
"963","10564 intron27"
"964","1208 intron2"
"965","1208 intron1"
"966","124907891 intron1"
"967","124907894 intron1"
"968","105370179 intron1"
"969","105370183 intron3"
"970","105370194 intron4"
"971","122402 intron13"
"972","105370519 intron2"
"973","109864269 intron4"
"974","101927876 intron1"
"975","10786 intron1"
"976","11101 intron14"
"977","105370462 intron3"
"978","134430 intron8"
"979","101928816 intron1"
"980","101928832 intron2"
"981","100507103 intron4"
"982","10326 intron7"
"983","10327 intron1"
"984","124904782 intron1"
"985","105370507 intron3"
"986","105370507 intron2"
"987","107985675 intron6"
"988","107985684 intron2"
"989","116435303 intron2"
"990","101927183 intron2"
"991","131669 intron6"
"992","105378992 intron1"
"993","105374618 intron8"
"994","124906256 intron3"
"995","100288142 intron87"
"996","124906262 intron1"
"997","112268065 intron1"
"998","112268070 intron8"
"999","1271 intron10"
"1000","10087 intron8"
"1001","10004 intron10"
"1002","105373303 intron3"
"1003","105373303 intron1"
"1004","105373312 intron1"
"1005","10966 intron3"
"1006","105370803 intron3"
"1007","105376434 intron1"
"1008","105376437 intron2"
"1009","101927211 intron3"
"1010","101927211 intron1"
"1011","100506422 intron3"
"1012","10720 intron5"
"1013","10720 intron2"
"1014","101929679 intron5"
"1015","107986905 intron4"
"1016","146330 intron4"
"1017","101927156 intron3"
"1018","124901282 intron1"
"1019","124901287 intron1"
"1020","124901291 intron1"
"1021","124901294 intron1"
"1022","124901297 intron1"
"1023","101928736 intron3"
"1024","101928737 intron2"
"1025","101928760 intron1"
"1026","124900869 intron1"
"1027","101928708 intron2"
"1028","124909483 intron1"
"1029","124909485 intron2"
"1030","10256 intron15"
"1031","101928782 intron1"
"1032","144715 intron10"
"1033","124900697 intron1"
"1034","148823 intron7"
"1035","101927179 intron1"
"1036","124901811 intron1"
"1037","11342 intron6"
"1038","11342 intron7"
"1039","100289574 intron11"
"1040","101929705 intron2"
"1041","1293 intron25"
"1042","11274 intron3"
"1043","10382 intron4"
"1044","105375864 intron4"
"1045","105375864 intron3"
"1046","1487 intron10"
"1047","10507 intron2"
"1048","10509 intron7"
"1049","10509 intron8"
"1050","10509 intron9"
"1051","115795 intron3"
"1052","11328 intron8"
"1053","101928923 intron9"
"1054","144195 intron6"
"1055","104472715 intron135"
"1056","104472715 intron137"
"1057","104472715 intron139"
"1058","10558 intron20"
"1059","10558 intron14"
"1060","124900647 intron4"
"1061","102724165 intron3"
"1062","107986631 intron2"
"1063","107987039 intron1"
"1064","148137 intron8"
"1065","148213 intron2"
"1066","105379034 intron3"
"1067","124906977 intron2"
"1068","100034743 intron9"
"1069","107986886 intron2"
"1070","107986887 intron1"
"1071","107986890 intron1"
"1072","105378920 intron1"
"1073","149111 intron2"
"1074","149111 intron3"
"1075","124904230 intron2"
"1076","147 intron2"
"1077","10010 intron7"
"1078","100101116 intron2"
"1079","100101116 intron4"
"1080","102725532 intron4"
"1081","10478 intron2"
"1082","107161151 intron17"
"1083","101927230 intron1"
"1084","10745 intron13"
"1085","10595 intron15"
"1086","10595 intron14"
"1087","105369760 intron1"
"1088","101929224 intron2"
"1089","100287171 intron11"
"1090","100287171 intron10"
"1091","100288142 intron94"
"1092","1294 intron70"
"1093","10512 intron1"
"1094","101929730 intron1"
"1095","101929730 intron2"
"1096","1357 intron6"
"1097","1357 intron9"
"1098","102724772 intron3"
"1099","105377234 intron2"
"1100","105377237 intron1"
"1101","109951030 intron30"
"1102","100873065 intron10"
"1103","105370400 intron1"
"1104","129446 intron7"
"1105","105379002 intron2"
"1106","105379006 intron1"
"1107","102723341 intron1"
"1108","105370284 intron1"
"1109","1201 intron4"
"1110","157570 intron9"
"1111","157570 intron12"
"1112","131177 intron7"
"1113","105378083 intron2"
"1114","115825 intron11"
"1115","101928859 intron2"
"1116","105370783 intron1"
"1117","105370783 intron2"
"1118","114783 intron11"
"1119","114783 intron7"
"1120","114783 intron6"
"1121","105372680 intron2"
"1122","105372680 intron1"
"1123","124904160 intron1"
"1124","124904161 intron1"
"1125","131034 intron1"
"1126","124901347 intron1"
"1127","126205 intron1"
"1128","105371466 intron2"
"1129","100132406 intron52"
"1130","1290 intron55"
"1131","10144 intron23"
"1132","105372609 intron2"
"1133","11077 intron1"
"1134","105376243 intron1"
"1135","128869 intron12"
"1136","128869 intron10"
"1137","128869 intron8"
"1138","105377838 intron1"
"1139","147872 intron9"
"1140","102724849 intron3"
"1141","115352 intron14"
"1142","11122 intron7"
"1143","146850 intron5"
"1144","146850 intron4"
"1145","124901318 intron1"
"1146","10351 intron18"
"1147","107984784 intron1"
"1148","107984358 intron1"
"1149","107985704 intron5"
"1150","10195 intron3"
"1151","10198 intron19"
"1152","105374667 intron2"
"1153","105374676 intron9"
"1154","11193 intron8"
"1155","10625 intron7"
"1156","127247 intron2"
"1157","105376244 intron2"
"1158","100131366 intron2"
"1159","10451 intron3"
"1160","10807 intron8"
"1161","123872 intron10"
"1162","100507629 intron3"
"1163","100507632 intron2"
"1164","101929732 intron5"
"1165","1054 intron1"
"1166","107985939 intron2"
"1167","101928989 intron3"
"1168","153642 intron6"
"1169","1062 intron31"
"1170","1062 intron26"
"1171","118663 intron12"
"1172","11176 intron20"
"1173","11176 intron12"
"1174","11176 intron8"
"1175","107985802 intron1"
"1176","124901494 intron1"
"1177","107984941 intron3"
"1178","101927295 intron2"
"1179","101929008 intron2"
"1180","107986307 intron5"
"1181","105375886 intron1"
"1182","100874031 intron1"
"1183","100874032 intron1"
"1184","100874032 intron2"
"1185","100874035 intron1"
"1186","11173 intron3"
"1187","101929894 intron2"
"1188","105378115 intron1"
"1189","105378115 intron2"
"1190","105378116 intron1"
"1191","105371005 intron3"
"1192","10005 intron4"
